date,AQI,defining_parameter,temperature,humidity,wind_speed,precipitation
2019-01-01,176,PM2.5,11.4,76,16.4,0.1
2019-01-02,27,Ozone,11.1,89,20.8,43.7
2019-01-03,25,Ozone,9.6,88,25.5,13.2
2019-01-04,52,PM2.5,7.8,77,21.6,0.0
2019-01-05,66,PM2.5,11.2,79,12.5,0.0
2019-01-06,42,NO2,14.2,85,20.3,0.0
2019-01-07,46,PM2.5,18.6,84,21.6,0.1
2019-01-08,56,PM2.5,19.3,83,15.4,0.0
2019-01-09,53,PM2.5,14.0,55,21.8,0.0
2019-01-10,56,PM2.5,10.3,56,10.4,0.2
2019-01-11,53,PM2.5,12.4,76,23.1,0.8
2019-01-12,31,Ozone,15.1,76,24.0,10.3
2019-01-13,36,PM2.5,8.4,67,15.5,0.0
2019-01-14,55,PM2.5,7.5,71,14.3,0.0
2019-01-15,69,PM2.5,8.7,72,10.4,0.1
2019-01-16,61,PM2.5,12.6,88,18.3,2.4
2019-01-17,52,PM2.5,17.0,86,21.9,0.3
2019-01-18,52,PM2.5,16.6,94,26.2,1.7
2019-01-19,52,PM2.5,11.9,65,40.7,21.7
2019-01-20,48,PM2.5,4.6,60,23.8,0.0
2019-01-21,56,PM2.5,9.7,77,23.8,0.0
2019-01-22,56,PM2.5,18.9,73,37.2,4.2
2019-01-23,43,PM2.5,6.9,70,34.8,22.3
2019-01-24,59,PM2.5,6.0,63,10.8,0.0
2019-01-25,55,PM2.5,8.6,70,17.4,0.0
2019-01-26,52,PM2.5,11.6,80,13.1,0.2
2019-01-27,54,PM2.5,11.7,81,11.5,0.4
2019-01-28,52,PM2.5,14.0,77,22.6,1.6
2019-01-29,35,Ozone,6.6,51,38.2,4.9
2019-01-30,38,PM2.5,6.9,49,16.6,0.0
2019-01-31,52,PM2.5,12.4,83,29.1,12.6
2019-02-01,53,PM2.5,15.0,93,15.8,10.0
2019-02-02,66,PM2.5,15.2,92,17.5,6.7
2019-02-03,52,PM2.5,17.9,94,17.6,6.2
2019-02-04,56,PM2.5,20.7,90,14.6,1.1
2019-02-05,56,PM2.5,21.0,91,23.4,1.1
2019-02-06,61,PM2.5,22.1,88,27.6,0.8
2019-02-07,51,PM2.5,18.1,78,32.6,10.3
2019-02-08,30,PM2.5,5.4,48,26.3,0.0
2019-02-09,32,PM2.5,5.5,67,21.7,1.9
2019-02-10,63,PM2.5,13.3,81,29.2,0.9
2019-02-11,50,PM2.5,19.8,89,28.3,9.4
2019-02-12,33,Ozone,15.5,63,27.8,0.5
2019-02-13,42,PM2.5,10.4,68,20.9,0.0
2019-02-14,54,PM2.5,16.8,77,31.4,0.0
2019-02-15,58,PM2.5,19.5,86,22.1,0.0
2019-02-16,77,PM2.5,17.8,93,17.1,2.6
